Unnamed: 0,data,len,true,fuzzy,id,single,split
4404,the palm grove or garden is a typical feature of the north african landscape which was brought to europe during the islamic occupation of much of the iberian peninsula and has survived to the present day,36,[0 0 0 0 1 0 0 0 0 0 0],[0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],930,5,train
553,the extensive complexes of monasteries were built between the time of the second bulgarian state <NUM>  <NUM>  and the conquest of bulgaria by the ottoman empire,25,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],45,3,train
1862,"the theatre , the temples of artemis and asklepios , the tholos , the enkoimeterion and the propylaia make the sanctuary of epidaurus an eminent example of a hellenic architectural ensemble of the <NUM> th century bce . ",33,[0 0 0 1 0 0 0 0 0 0 0],[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],491,4,train
5012,"the historic town of st george with its related fortifications is an outstanding example of a continuously occupied , fortified , colonial town dating from the early <NUM> th century , and the oldest english town in the new world . ",36,[0 0 0 1 0 0 0 0 0 0 0],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],983,4,train
3435,"due to interaction between indigenous pyu societies with indic cultures from the <NUM> nd century bce , buddhism achieved its first permanent foothold in southeast asia among the pyu cities , where it was embraced by all classes of society from the ruling elite to agrarian labourers",44,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1444,2,train
2721,"ancient syracuse was directly linked to events , ideas and literary works of outstanding universal significance . ",15,[0 0 0 0 0 1 0 0 0 0 0],[0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],1200,6,train
4365,"the long process of building the defensive walls has not destroyed the earlier phases or the street pattern , but has incorporated them in the ultimate phase . ",26,[0 0 0 0 0 0 0 0 0 1 0],[0.  1.  1.  1.  0.  0.  0.  0.  1.  1.  0.2],417,10,train
3203,"the artistic , architectural , and historical values of el tajin combine to make this a highly significant site",17,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],631,3,train
4128,"lions , reputedly the largest in africa , are a special attraction , as well as the derby eland , the largest antelope in existence",21,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.2],153,10,train
2862,"the sites of japans meiji industrial revolution illustrate the process by which feudal japan sought technology transfer from western europe and america from the middle of the <NUM> th century and how this technology was adopted and progressively adapted to satisfy specific domestic needs and social traditions , thus enabling japan to become a world ranking industrial nation by the early <NUM> th century",60,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1484,2,train
1022,"the contrast of scale is a recurring theme in hoh xil as high plateau systems function unimpeded on a grand scale , wildlife is vividly juxtaposed against vast treeless backdrops and tiny cushion plants contrast against towering snow covered mountains",39,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],1540,7,train
3026,"it presents impressive geological elements including karstic scenery with a highly dissected limestone massif , crossed by a deep river gorge which is the spectacular expression of a stage of evolution of the earth in the form of a forest of sharp stones with high limestone pinnacles rising up to <NUM>  metres , forming veritable cathedrals , offering a grandiose , spectacular natural landscape",62,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],494,7,train
4519,"the town plan , which grew up organically over several centuries , is preserved in its entirety . ",15,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],762,2,train
2980,the property is distinguished by containing a large suite of seamounts complete with a broad expanse of contextual abyssal plain with a natural phenomenon of global significance,27,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],1325,7,train
5256,"abundant lakes , occupying drowned dolines , are one of the distinctive features of the fencong karst , with some appearing to be tidal",21,[0 0 0 0 0 0 0 1 0 0 0],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],672,8,train
3269,"these include the critically endangered species black sea bass and totoaba , as well as the vulnerable basking shark",18,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.2],1182,10,train
1074,the wealth and concentration of elaborate monumental burials and associated megalithic statuary from the sites in san agustin archaeological park bears vivid witness to the artistic creativity and imagination of a prehispanic culture that flowered in the hostile tropical environment of the northern andes,44,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],744,3,train
3044,the property is an area of exceptional natural beauty with its islands and clear waters set against the background of the great african rift valley escarpment,26,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.2],289,7,train
1046,"based on these the amoy deco style shows a transformation of traditional building typology towards new forms , which were later referenced throughout south east asia and became popular in the wider region . ",31,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1541,4,train
2031,"the <NUM>  species of reptiles and amphibians comprise several rare poisonous snakes and <NUM>  species marine turtles loggerhead , leatherback , green turtle and hawksbill turtle ",24,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  0.2],196,10,train
3501,"the mill network at kinderdijk elshout with its historic polder areas , high and low lying drainage channels , mills and millraces , pumping stations , outlet sluices and water board assembly houses is an outstanding example of the development of dutch drainage techniques which were copied and adapted in many parts of the world . ",49,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],818,2,train
4196,"the singapore botanic gardens has been a centre for plant research in southeast asia since the <NUM> th century , contributing significantly to the expansion of plantation rubber in the <NUM> th century , and continues to play a leading role in the exchange of ideas , knowledge and expertise in tropical botany and horticultural sciences",51,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1483,2,train
3176,"for more than a millennium , monte alban exerted considerable influence in the entire cultural area of oaxaca",17,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],415,2,train
1658,"the collection of the treasury of the cathedral is of inestimable archaeological , aesthetic and historic interest . ",16,[0 0 0 0 0 1 0 0 0 0 0],[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],3,6,train
2416,"it is a good example of a system that appears to have been once more widespread , and involves the movement of people rather than animals to three defined settlement areas , one of which is cave dwellings . ",36,[0 0 0 0 1 0 0 0 0 0 0],[0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],1423,5,train
3360,"first and foremost it was the centre of the mongolian empire secondly it reflects a particular mongolian variation of turkish power thirdly , the erdene zuu monastery and the tuvkhun hermitage monastery were the setting for the development of a mongolian form of buddhism and fourthly , khar balgas , reflects the uighur urban culture in the capital of the uighur empire . ",59,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1081,4,train
2915,"the mausoleum of khoja ahmed yasawi is an outstanding achievement in the timurid architecture , and it has significantly contributed to the development of islamic religious architecture . ",26,[1 0 0 0 0 0 0 0 0 0 0],[1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1103,1,train
2622,"from the middle ages to the <NUM> th century , naples was a focal point in terms of art and architecture , expressed in its ancient forts , the royal ensembles such as the royal palace of <NUM>  , and the palaces and churches sponsored by the noble families . ",44,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],726,4,train
969,"the xinjiang tianshan is anchored in the west by the highest peak in the tianshan , tomur peak at <NUM>  , <NUM>  meters , and in the east by bogda peak at <NUM>  , <NUM>  meters",30,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],1414,7,train
4454,the montane forests in the three serial components contain the only habitats of many threatened plant and animal species and are therefore of prime importance for their in situ conservation,29,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],1203,10,train
2627,the este ducal residences in the po delta illustrate the influence of renaissance culture on the natural landscape in an exceptional manner . ,22,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.2],733,3,train
5448,this is one of the few places remaining in the world where ecological processes are governed by natural stresses and the evolutionary changes in a glacial and ecological continuum . ,29,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  0.2],72,10,train
1962,"more than <NUM>  higher plants , including <NUM>  tree species have been inventoried",12,[0 0 0 0 0 0 0 0 0 1 0],[1.  0.  1.  1.  0.  0.  0.  0.  1.  1.  0.2],64,10,train
1752,"their quality of urban , architectural and garden design , as well as the housing standards developed during the period , served as guidelines for social housing constructed since then , both in and outside germany . ",32,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1239,2,train
3573,these activities have shaped a cultural landscape that provides a unique picture of how the mines and the mining town functioned as a complex and at times vulnerable system that verged on the limits of what was possible in an inhospitable environment with a harsh climate . ,46,[0 0 0 0 1 0 0 0 0 0 0],[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],55,5,train
4618,the proto urban site of sarazm is one of the places that gave birth to and saw the development of the major trans eurasian trade routes . ,24,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1141,3,train
3143,the scale and conservation status of sian ka an and its ecosystem diversity support a fascinating range of life forms,19,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],410,10,train
2653,"many renowned botanists become praefectus of the botanical garden of padua , leaving evidence of their scientific works in the plants named after them e . g",24,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],824,3,train
4063,"the combination of landscape diversity , remoteness , naturalness and degree of protection are extraordinary",13,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],1234,9,train
3697,"the chavin archaeological site , eponym of one of the ancient civilizations of south america , is an exceptional example of the architectural , technological and symbolic creations of the early pre columbian societies in the peruvian andes",34,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],330,3,train
177,"this is framed by steep escarpments which rise spectacularly to a plateau surface dotted with innumerable lakes , tarns and pools",20,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],629,7,train
1881,"the urban fabric of the city includes palaces , residences and mansions , churches and monasteries , as well as constructions related to the citys water supply and drainage and to commercial and craft based activities",32,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],511,4,train
2464,"the sassanid archaeological landscape of the fars region was influenced by the achaemenid and parthian cultural and ritual traditions , and references their architectural and artistic approaches",26,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],1568,2,train
1788,caves and ice age art in the swabian jura provides an exceptional testimony to the culture of the first modern humans to settle in europe,25,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1527,3,train
410,"the most notable of the citys architectural works are represented by the religious monuments and administrative buildings , including the palacio dos governadores governors palace , today the school of mines , and the former casa de camara e cadeia administrative and prison house , home to the inconfidencia museum",46,[1 0 0 0 0 0 0 0 0 0 0],[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],124,1,train
79,"these waters display spectacular colours with shifting hues of green , blue and turquoise according to the intensity of sunlight and the time of the year",25,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],1526,7,train
4715,"more so than the tombs at karakus and eski kahta , the tumulus at nemrut dag illustrates , through the liberal syncretism of a very original pantheon , a significant , historical period",29,[0 0 0 1 0 0 0 0 0 0 0],[1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],448,4,train
3402,"the capital of the almoravids and the almohads has played a decisive role in medieval urban development . capital of the merinids , fes jedid the new town , integral part of the medina of fez , inscribed in <NUM>  on the world heritage list , is an adaptation of the earlier urban model of marrakesh . ",51,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],331,2,train
23,the geological conformation of tassili n ajjer includes precambrian crystalline elements and sedimentary sandstone successions of great paleo geographical and paleo ecological interest . ,20,[0 0 0 0 0 0 0 1 0 0 0],[1.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.2],179,8,train
4850,"the property has the highest diversity of tree species over <NUM>  species including <NUM>  endemics and ferns some <NUM>  species in east africa , and maybe the most important forest in africa for montane forest butterflies with <NUM>  species <NUM>  of the countrys total , including eight albertine endemics",47,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],682,10,train
80,"crystal clear rivers and lakes are surrounded by lush temperate valdivian forests in an environment of mountain ranges , glaciers and snow capped peaks",21,[0 0 0 0 0 0 1 0 0 0 0],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],1526,7,train
1158,"the agricultural plain of stari grad has remained in continuous use , with the same initial crops being produced , for <NUM>  years",21,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],1240,3,train
3544,"the form and nature of early spanish settlements in the new world , adapting european architectural and planning concepts to the material potential of another region , are uniquely preserved in the archaeological site of leon viejo . ",35,[0 0 0 1 0 0 0 0 0 0 0],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],613,4,train
589,"douroula illustrates this first phase of iron production development in africa , and demonstrates that the iron production technology was already widely disseminated by around <NUM>  bce across the whole region",30,[0 0 1 0 0 0 0 0 0 0 0],[0.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],1602,3,train
5206,over a fifth of the fish species are unique to the archipelago while coral species endemism is over <NUM>  ,19,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  1.  0.  0.  1.  0.  1.  1.  1.  0.2],1326,9,train
1879,"as a political and administrative provincial centre of the byzantine state , mystras became a unique intellectual , cultural and artistic centre . ",20,[0 0 1 0 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],511,3,train
4367,the abbey contains masterpieces from every period such as the great alabaster altarpiece by damia forment <NUM>  . ,17,[1 0 0 0 0 0 0 0 0 0 0],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],518,1,train
544,"it is the only relief of its kind , having no parallel in europe . ",13,[1 0 0 0 0 0 0 0 0 0 0],[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],43,1,train
2463,"besides creating pleasant micro climate , it uses minimum amounts of materials , which provides inspiration for new architecture facing the sustainability challenges today . ",21,[0 0 0 0 1 0 0 0 0 0 0],[0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],1544,5,train
2163,"chhatrapati shivaji terminus formerly victoria terminus of mumbai formerly bombay exhibits an important interchange of influences from victorian italianate gothic revival architecture , and from indian traditional buildings",27,[0 1 0 0 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],945,2,train
324,"the beguinages constitute an outstanding example of an architectural ensemble associated with a religious movement characteristic of the middle ages , associating both secular and conventual values . ",26,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],855,4,train
3599,the bahla fort and oasis settlement with its perimeter fortification are an outstanding example of a type of defensive architectural ensemble that enabled dominant tribes to achieve prosperity in oman and the arabian peninsula during the late medieval period . ,39,[0 0 0 1 0 0 0 0 0 0 0],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],433,4,train
101,these floodplains illustrate the ecological and geomorphological effects that have accompanied holocene climate change and sea level rise . ,18,[0 0 0 0 0 0 0 0 1 0 0],[1.  0.  0.  0.  0.  1.  1.  0.  1.  1.  0.2],147,9,train
4969,bath reflects two great eras in human history roman and georgian,11,[0 0 0 1 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],428,4,train
3961,"in the field of urban design , saint petersburg represents a unique artistic achievement in the ambition of the program , the coherency of the plan and the speed of execution",29,[1 0 0 0 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],540,1,train
1330,"likewise , the marine reserve , situated at the confluence of <NUM>  major eastern pacific currents and influenced by climatic phenomena such as el nino , has had major evolutionary consequences and provides important clues about species evolution under changing conditions",38,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  0.2],1,9,train
530,the property also supports a similarly high diversity of marine biodiversity and endemism . ,13,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.2],1308,10,train
4899,the geological activity of the tertiary era is clearly illustrated by the succession of the lava flows and interbasaltic beds which are in evidence on the causeway coast,28,[0 0 0 0 0 0 0 1 0 0 0],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],369,8,train
1086,it presents a mosaic of mainly guyanese and amazonian landscapes that provide a great variety of unique habitats that are critical for the survival of the propertys characteristic plants and animals . ,31,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  1.  0.  0.  0.  0.  0.  1.  1.  0.2],1174,9,train
4151,"with highlighting in bright colors , shadows and light executed a secco , the density of forms and volumetric rendering of faces are combined with an astounding execution , the perfection of which is very close to that of icons , . ",37,[1 0 0 0 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],389,1,train
1894,"a christian settlement survived for a time at the site of the ruins of the great pan hellenic sanctuary discovery of the workshop of pheidias under the remains of a byzantine church is an outstanding indication of continuous human settlement , which was interrupted only in the <NUM> th century ad , as a result of natural disasters . ",54,[0 0 1 0 0 0 0 0 0 0 0],[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],517,3,train
3199,more than two hundred historical buildings reflect the architectural history of the city,13,[0 0 0 1 0 0 0 0 0 0 0],[0.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],585,4,train
439,"it is acknowledged that the ongoing processes in the evolution of this exceptionally diverse region are the result of the mix of regional endemic species of the atlantic forest with elements of the amazon ecosystem , particularly observed among the species of plants and birds",44,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],892,9,train
2574,venice symbolizes the peoples victorious struggle against the elements as they managed to master a hostile nature,17,[0 0 0 0 0 1 0 0 0 0 0],[1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.2],394,6,train
2678,the mosaics that decorate it are exceptional for their artistic quality and invention as well as their extent . ,18,[1 1 1 0 0 0 0 0 0 0 0],[1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],832,1,train
132,"major stages represented include the age of the pteridophytes from the carboniferous period with some of the oldest elements of the worlds ferns represented , and the age of conifers in the jurassic period with one of the most significant centres of survival for araucarians the most ancient and phylogenetically primitive of the worlds conifers ",54,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.2],368,9,train
4578,"as such it constitutes an important cultural , social and artistic development . ",11,[0 0 0 1 0 0 0 0 0 0 0],[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],20,4,train
4918,"the world heritage property provides an outstanding illustration of the evolution of monument construction and of the continual use and shaping of the landscape over more than <NUM>  years , from the early neolithic to the bronze age . the monuments and landscape have had an unwavering influence on architects , artists , historians and archaeologists , and still retain a huge potential for future research . ",61,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],373,2,train
3137,"aapravasi ghat , as the first site chosen by the british government in <NUM>  for the great experiment in the use of indentured , rather than slave labour , is strongly associated with memories of almost half a million indentured labourers moving from india to mauritius to work on sugar cane plantations or to be transshipped to other parts of the world . ",59,[0 0 0 0 0 1 0 0 0 0 0],[0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.2],1227,6,train
2473,the property represents a remarkable series of sites conserving the natural forest ecosystems of the hyrcanian region,17,[0 0 0 0 0 0 0 0 1 0 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.2],1584,9,train
5581,"rolling high altitude grasslands , the pristine steep sided river valleys and rocky gorges also contribute to the beauty of the site . ",20,[0 0 0 0 0 0 1 0 0 0 0],[1.  0.  1.  0.  0.  0.  1.  0.  0.  1.  0.2],985,7,train
4153,"this royal mausoleum was imitated at banjska , decani and the holy archangels of prizren",14,[0 1 0 0 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],389,2,train
1144,"the property also contains three other threatened species which are the chimpanzee , the african wild dog lycaon pictus and the elephant loxodonta africana africana . ",24,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],227,10,train
4003,"they exemplify the beginnings and the peak of the white stone building style of the <NUM> th <NUM> th centuries , and are remarkable for a prominent harmony and perfection of architectural shapes . ",28,[0 0 0 1 0 0 0 0 0 0 0],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],633,4,train
4436,the spatial distribution and the sites documented enable a detailed understanding of the ways in which the ancient canarians made use of the territory,24,[0 0 0 0 1 0 0 0 0 0 0],[0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],1578,5,train
3727,"for decades , the property has been among the foremost references for scientific research in tropical ecology",16,[0 0 0 0 0 0 0 0 0 1 0],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],402,10,train
